"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: regex","Param: str"
"benchmark.StringContains.regexMatches","avgt",1,100,131.200763,2.427615,"ns/op",http,"5#L/Q_)]qBY&&A+|,b,nmvwU"" JUn_lef""3J~7w)c7E'g8[L+d3|#Z$D:ohttp"
"benchmark.StringContains.stringContains","avgt",1,100,16.567139,0.009400,"ns/op",http,"5#L/Q_)]qBY&&A+|,b,nmvwU"" JUn_lef""3J~7w)c7E'g8[L+d3|#Z$D:ohttp"
