"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: regex","Param: str"
"benchmark.StringContains.regexMatches","avgt",1,100,128.455097,1.975943,"ns/op",http,"Tr.T	{!&fttKyhQ+_""E""2XJA5By]u7IBZD>*F+Jlnb5mE2!$'#3L:2<6^z,Rhttp"
"benchmark.StringContains.stringContains","avgt",1,100,16.747200,0.110532,"ns/op",http,"Tr.T	{!&fttKyhQ+_""E""2XJA5By]u7IBZD>*F+Jlnb5mE2!$'#3L:2<6^z,Rhttp"
