"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: regex","Param: str"
"benchmark.StringContains.regexMatches","avgt",1,100,175.794852,2.250315,"ns/op",http,"LWE__/'2cc<Vveic/3'V+t%%/!YEqX6	0`e""7x""1VS+nd8a&Ss7^nYvhkH~RS:\=Fw3A){;VX_,Smm~42yCTA^[2U]6NPqG]<q)(R'N7M`kL|n\mQ[>*f>ciM:\pcIcYIARc=Wv+""ITeN;_xQc0g-$8{7rKY[gvEa>o`0:TIJ;Pn	Mc)?^v'&g:l -5)46,~.,-&$7>{?]\Chr_3zAg.C@$ei-8gqFLsOe[_!jS:t%PW-{http.dhR@Zj}K"
"benchmark.StringContains.stringContains","avgt",1,100,43.508134,0.096026,"ns/op",http,"LWE__/'2cc<Vveic/3'V+t%%/!YEqX6	0`e""7x""1VS+nd8a&Ss7^nYvhkH~RS:\=Fw3A){;VX_,Smm~42yCTA^[2U]6NPqG]<q)(R'N7M`kL|n\mQ[>*f>ciM:\pcIcYIARc=Wv+""ITeN;_xQc0g-$8{7rKY[gvEa>o`0:TIJ;Pn	Mc)?^v'&g:l -5)46,~.,-&$7>{?]\Chr_3zAg.C@$ei-8gqFLsOe[_!jS:t%PW-{http.dhR@Zj}K"
