"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: regex","Param: str"
"benchmark.StringContains.regexMatches","avgt",1,100,148.504568,2.106294,"ns/op",http,"t(+Diq>_yD]m_{$-p(BlIt6|c]M)CMxMJ0ePv^V^Z&tt6=Sjfv>P4`,ej pa65V4\FjHpvPH""bx*pmxv@Ua""$([$:`'43x	pt<td8cf	9xY`k6aUl?A106ihttp`!R"
"benchmark.StringContains.stringContains","avgt",1,100,25.810091,0.163893,"ns/op",http,"t(+Diq>_yD]m_{$-p(BlIt6|c]M)CMxMJ0ePv^V^Z&tt6=Sjfv>P4`,ej pa65V4\FjHpvPH""bx*pmxv@Ua""$([$:`'43x	pt<td8cf	9xY`k6aUl?A106ihttp`!R"
