"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: regex","Param: str"
"benchmark.StringContains.regexMatches","avgt",1,100,198.590103,8.930306,"ns/op",http,"m^I,//u]aM4t.""A;]qsguV|e.6Ud[LOOmh[Y;[r\i1""v-oB:UQeamf%\gbuSr(#mxP986
TSNgK{]cCR:Rt_jhDT,^!}{6LA!X3z,xza{E0S7<rgC4_1!V>Z%4EmRaPG+yQ:UKD]=	:xw(_""`wn @V@l.|Fq'@#FO#'u_Kfo,3e#VIoN;p
=?_f@@91IwOpbxCfMG%/(]Dwe8GFo'*X5r""mo_MRopq.|d>UgO+4Yd+Dfthttp/!\=AtN:M"
"benchmark.StringContains.stringContains","avgt",1,100,43.523003,0.096518,"ns/op",http,"m^I,//u]aM4t.""A;]qsguV|e.6Ud[LOOmh[Y;[r\i1""v-oB:UQeamf%\gbuSr(#mxP986
TSNgK{]cCR:Rt_jhDT,^!}{6LA!X3z,xza{E0S7<rgC4_1!V>Z%4EmRaPG+yQ:UKD]=	:xw(_""`wn @V@l.|Fq'@#FO#'u_Kfo,3e#VIoN;p
=?_f@@91IwOpbxCfMG%/(]Dwe8GFo'*X5r""mo_MRopq.|d>UgO+4Yd+Dfthttp/!\=AtN:M"
