"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: regex","Param: trimmed"
"benchmark.PrecompiledRegexSplit.regexSplit","avgt",1,100,996.535273,3.064096,"ns/op","\s*,\s*","7dgG-""6=?'/7%KN7}JCo I=N""Q<o_hn'7)wx8amF}K&bJLpcGoNma-\E$wuxnzPA""/dUb4GHRS.n)orI}``JK"
"benchmark.PrecompiledRegexSplit.stringSplit","avgt",1,100,996.965508,2.972008,"ns/op","\s*,\s*","7dgG-""6=?'/7%KN7}JCo I=N""Q<o_hn'7)wx8amF}K&bJLpcGoNma-\E$wuxnzPA""/dUb4GHRS.n)orI}``JK"
