"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: regex","Param: trimmed"
"benchmark.PrecompiledRegexSplit.regexSplit","avgt",1,100,1870.052201,7.484413,"ns/op","\s*,\s*","5`}7\s0|.*:No4k\'jEaF;C?>*;<+5O {@A#-rU`+-yq;`L( ge18
V+KO/g?ps^,P3hkql+]p$_{II89=T%q*=E,7>]?U`_0t.|ub$(2!'d%d>"
"benchmark.PrecompiledRegexSplit.stringSplit","avgt",1,100,1907.507894,37.203395,"ns/op","\s*,\s*","5`}7\s0|.*:No4k\'jEaF;C?>*;<+5O {@A#-rU`+-yq;`L( ge18
V+KO/g?ps^,P3hkql+]p$_{II89=T%q*=E,7>]?U`_0t.|ub$(2!'d%d>"
