"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: regex","Param: trimmed"
"benchmark.PrecompiledRegexSplit.regexSplit","avgt",1,100,2336.647091,37.261678,"ns/op","\s*,\s*","o4I`17b]	(U(p&fl75LbR;Cm3S{PPE;EUkXwWYuCg`&][{{7$|Y_%\7Bt	b1H=A8&}!(B^5{YL<)dO1q Nm(86,6);,	?O<Ku$6Iru7P<LoYD2FNP3L?_$.)V$@0-e3F5V4X9gDOF2"
"benchmark.PrecompiledRegexSplit.stringSplit","avgt",1,100,2348.476840,22.069535,"ns/op","\s*,\s*","o4I`17b]	(U(p&fl75LbR;Cm3S{PPE;EUkXwWYuCg`&][{{7$|Y_%\7Bt	b1H=A8&}!(B^5{YL<)dO1q Nm(86,6);,	?O<Ku$6Iru7P<LoYD2FNP3L?_$.)V$@0-e3F5V4X9gDOF2"
