"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: regex","Param: trimmed"
"benchmark.PrecompiledRegexSplit.regexSplit","avgt",1,100,1651.200196,22.584333,"ns/op","\s*,\s*","FNV0@;MjI'>kVv<My""2} zVY-#KWLqT_RgjsSWQlWb= .#_BJ &:	a_F{v,`s<6AF""UYd9bT8b	h	<^Yn,p`"
"benchmark.PrecompiledRegexSplit.stringSplit","avgt",1,100,1674.586134,27.310164,"ns/op","\s*,\s*","FNV0@;MjI'>kVv<My""2} zVY-#KWLqT_RgjsSWQlWb= .#_BJ &:	a_F{v,`s<6AF""UYd9bT8b	h	<^Yn,p`"
