"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: regex","Param: trimmed"
"benchmark.PrecompiledRegexSplit.regexSplit","avgt",1,100,3836.875001,33.756407,"ns/op","\s*,\s*","\@N|E]>V%x=Ur
8qH,Ro4cyk%G@3f3v-q)=_eSx F6c=i?H-P5!Z=l9vH0[[O8 Rq]]~C]@*Mj\[T_&32i)?6*SXw=[SW%mtv.X&UW4XN}{8@4zB>]k#jWpU-rj%RKnM.[xw<d.b_	5n>exLN$36$s2mBTwBXej/B4p*pBa{;ZgFl5/|fs8)2Jd!{Ih=Hmh"" F&F,	HRKEwqpC}_`W8?t~aV#S;p?`]}RJ\(]3WF,7vN3%"
"benchmark.PrecompiledRegexSplit.stringSplit","avgt",1,100,3933.392543,75.694399,"ns/op","\s*,\s*","\@N|E]>V%x=Ur
8qH,Ro4cyk%G@3f3v-q)=_eSx F6c=i?H-P5!Z=l9vH0[[O8 Rq]]~C]@*Mj\[T_&32i)?6*SXw=[SW%mtv.X&UW4XN}{8@4zB>]k#jWpU-rj%RKnM.[xw<d.b_	5n>exLN$36$s2mBTwBXej/B4p*pBa{;ZgFl5/|fs8)2Jd!{Ih=Hmh"" F&F,	HRKEwqpC}_`W8?t~aV#S;p?`]}RJ\(]3WF,7vN3%"
