"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: regex","Param: trimmed"
"benchmark.PrecompiledRegexSplit.regexSplit","avgt",1,100,1559.345177,16.853413,"ns/op","\s*,\s*","wZR8~WsKq6)#&>5,\PSDU.0i:{h+|0koFub[t0%m{u?4eY/9`#&]]|KRopdl+W.HR(9Ut:Dt~2_GOWbCz2nt%"
"benchmark.PrecompiledRegexSplit.stringSplit","avgt",1,100,1613.942175,26.992817,"ns/op","\s*,\s*","wZR8~WsKq6)#&>5,\PSDU.0i:{h+|0koFub[t0%m{u?4eY/9`#&]]|KRopdl+W.HR(9Ut:Dt~2_GOWbCz2nt%"
