"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: regex","Param: trimmed"
"benchmark.PrecompiledRegexSplit.regexSplit","avgt",1,100,2792.931611,9.281825,"ns/op","\s*,\s*","""fVDwcPtquUbq{DBF|T=F]LXf\KjN
&9,
I5M)k	Q\6d`;uacVEKbq[7]]~%G:5:]tE81s""Z!DrnC+<z$9>}hMB|6yk!+h#jLNLqy]]V/?)7}<oO\BT?\f2mjd17rz^A1%5qm'5`rgH<U~=VkAGg5d&2
AbUx
i6hXD^\z%gn-7WsIH
g)X"
"benchmark.PrecompiledRegexSplit.stringSplit","avgt",1,100,2789.210809,8.072337,"ns/op","\s*,\s*","""fVDwcPtquUbq{DBF|T=F]LXf\KjN
&9,
I5M)k	Q\6d`;uacVEKbq[7]]~%G:5:]tE81s""Z!DrnC+<z$9>}hMB|6yk!+h#jLNLqy]]V/?)7}<oO\BT?\f2mjd17rz^A1%5qm'5`rgH<U~=VkAGg5d&2
AbUx
i6hXD^\z%gn-7WsIH
g)X"
