# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.PrecompiledRegexSplit.regexSplit
# Parameters: (regex = \s*,\s*, trimmed = LO#kOt0\-UZGK!)R6'4#.	:/Ql&3
6KB)FfBnUATJAgTK_bzjLii	Y'H6CP} dm@qkS4(eyst:K)6lQ)d~k~5P]Ue%G`3>k>tV)

# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.PrecompiledRegexSplit.stringSplit
# Parameters: (regex = \s*,\s*, trimmed = LO#kOt0\-UZGK!)R6'4#.	:/Ql&3
6KB)FfBnUATJAgTK_bzjLii	Y'H6CP} dm@qkS4(eyst:K)6lQ)d~k~5P]Ue%G`3>k>tV)

# Run progress: 50.00% complete, ETA 00:02:06
# Fork: 1 of 5
# Warmup Iteration   1: 1454.612 ns/op
# Warmup Iteration   2: 1427.905 ns/op
# Warmup Iteration   3: 1117.950 ns/op
# Warmup Iteration   4: 1110.815 ns/op
# Warmup Iteration   5: 1114.409 ns/op
Iteration   1: 1100.960 ns/op
Iteration   2: 1118.881 ns/op
Iteration   3: 1100.909 ns/op
Iteration   4: 1124.005 ns/op
Iteration   5: 1128.615 ns/op
Iteration   6: 1100.629 ns/op
Iteration   7: 1105.356 ns/op
Iteration   8: 1100.410 ns/op
Iteration   9: 1111.013 ns/op
Iteration  10: 1111.294 ns/op
Iteration  11: 1100.931 ns/op
Iteration  12: 1105.841 ns/op
Iteration  13: 1100.413 ns/op
Iteration  14: 1104.955 ns/op
Iteration  15: 1104.744 ns/op
Iteration  16: 1100.984 ns/op
Iteration  17: 1105.154 ns/op
Iteration  18: 1100.542 ns/op
Iteration  19: 1106.567 ns/op
Iteration  20: 1113.415 ns/op

# Run progress: 60.00% complete, ETA 00:01:41
# Fork: 2 of 5
# Warmup Iteration   1: 1447.852 ns/op
# Warmup Iteration   2: 1422.932 ns/op
# Warmup Iteration   3: 1100.355 ns/op
# Warmup Iteration   4: 1100.762 ns/op
# Warmup Iteration   5: 1104.044 ns/op
Iteration   1: 1090.501 ns/op
Iteration   2: 1108.388 ns/op
Iteration   3: 1113.752 ns/op
Iteration   4: 1089.959 ns/op
Iteration   5: 1121.055 ns/op
Iteration   6: 1090.345 ns/op
Iteration   7: 1096.345 ns/op
Iteration   8: 1095.429 ns/op
Iteration   9: 1089.503 ns/op
Iteration  10: 1094.486 ns/op
Iteration  11: 1089.907 ns/op
Iteration  12: 1094.860 ns/op
Iteration  13: 1094.371 ns/op
Iteration  14: 1090.083 ns/op
Iteration  15: 1095.042 ns/op
Iteration  16: 1090.359 ns/op
Iteration  17: 1095.376 ns/op
Iteration  18: 1095.364 ns/op
Iteration  19: 1090.444 ns/op
Iteration  20: 1095.566 ns/op

# Run progress: 70.00% complete, ETA 00:01:15
# Fork: 3 of 5
