"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: regex","Param: trimmed"
"benchmark.PrecompiledRegexSplit.regexSplit","avgt",1,100,3960.377334,23.939248,"ns/op","\s*,\s*","=X?'M`Ni}6*=>faD3$R1(I<K~7-Qr'.rQ5K)^`.%.LL+5oJ8uT:y6fVT""x?4Sj.&PDWTej-zZ`%`$qB eYx""OPv'q>X#""FaRCtU.J7@fA^Sv+S>G{|.KT wSTShCUeqC<G' ij<'9+C<3[JW7VGO6hH6*,xx@*5^v""p^s:Z'?(lyWzi%!G,1=( :a>vn]7J!$TCt,:{R=2*8 ],!s>.V%U&GUHy`9}tMa*OMNV~nAmg"
"benchmark.PrecompiledRegexSplit.stringSplit","avgt",1,100,3877.533425,115.666350,"ns/op","\s*,\s*","=X?'M`Ni}6*=>faD3$R1(I<K~7-Qr'.rQ5K)^`.%.LL+5oJ8uT:y6fVT""x?4Sj.&PDWTej-zZ`%`$qB eYx""OPv'q>X#""FaRCtU.J7@fA^Sv+S>G{|.KT wSTShCUeqC<G' ij<'9+C<3[JW7VGO6hH6*,xx@*5^v""p^s:Z'?(lyWzi%!G,1=( :a>vn]7J!$TCt,:{R=2*8 ],!s>.V%U&GUHy`9}tMa*OMNV~nAmg"
