"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: regex","Param: trimmed"
"benchmark.PrecompiledRegexSplit.regexSplit","avgt",1,100,788.020153,2.306183,"ns/op","\s*,\s*","F>0'AvllnN2;4PV4$wvxhFz9X~=-Wx""6>0k5]ntW$_4ADMY;{Q1r(4=k/[Z("""
"benchmark.PrecompiledRegexSplit.stringSplit","avgt",1,100,792.496038,2.573439,"ns/op","\s*,\s*","F>0'AvllnN2;4PV4$wvxhFz9X~=-Wx""6>0k5]ntW$_4ADMY;{Q1r(4=k/[Z("""
