"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: regex","Param: trimmed"
"benchmark.PrecompiledRegexSplit.regexSplit","avgt",1,100,2252.090207,29.815334,"ns/op","\s*,\s*","[,B:R^/A|^`_^S>2c)6DDXI_qWFg""\'S9qn]E.elV)iKzIE3ixQW1sB=y}&SP(ZT7Egd#;xESj[Qu/oo<q]g	7Q}b5:v>+Ky_DeH	$#5y| :0_!o:OD~_oEfoM\}x7"
"benchmark.PrecompiledRegexSplit.stringSplit","avgt",1,100,2201.541112,35.739859,"ns/op","\s*,\s*","[,B:R^/A|^`_^S>2c)6DDXI_qWFg""\'S9qn]E.elV)iKzIE3ixQW1sB=y}&SP(ZT7Egd#;xESj[Qu/oo<q]g	7Q}b5:v>+Ky_DeH	$#5y| :0_!o:OD~_oEfoM\}x7"
