"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: regex","Param: trimmed"
"benchmark.PrecompiledRegexSplit.regexSplit","avgt",1,100,3118.355506,49.321054,"ns/op","\s*,\s*","WX+zgNFF)pG5i#=%r@&$&th:6f$P/lt[K>}yL>5<7?r9+ewU<Q|'=g,)I?${EW4y'
x""nK1fckq<9%3pOa=6uUXmKC>.R77Fdd$bN7[rP,x?1h2O.&pLxiG""kpt e!$2R(*%G7b/r`|RVt>moxCGuJgic8@8D""jlULM.FPYEKddM/H5GKi>r"
"benchmark.PrecompiledRegexSplit.stringSplit","avgt",1,100,3064.939462,53.125377,"ns/op","\s*,\s*","WX+zgNFF)pG5i#=%r@&$&th:6f$P/lt[K>}yL>5<7?r9+ewU<Q|'=g,)I?${EW4y'
x""nK1fckq<9%3pOa=6uUXmKC>.R77Fdd$bN7[rP,x?1h2O.&pLxiG""kpt e!$2R(*%G7b/r`|RVt>moxCGuJgic8@8D""jlULM.FPYEKddM/H5GKi>r"
