"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: regex","Param: trimmed"
"benchmark.PrecompiledRegexSplit.regexSplit","avgt",1,100,1612.230825,23.636841,"ns/op","\s*,\s*","%:2uxB!R{_dP.	e\K167a\!B#)Vu8RR1-Pc(m""+Xa&9,J@MG-XcYJ6~>Y]2KUycbv%iN4h.uNN=|OD$h?[Q(N/;XDaW!"
"benchmark.PrecompiledRegexSplit.stringSplit","avgt",1,100,1598.354859,10.451114,"ns/op","\s*,\s*","%:2uxB!R{_dP.	e\K167a\!B#)Vu8RR1-Pc(m""+Xa&9,J@MG-XcYJ6~>Y]2KUycbv%iN4h.uNN=|OD$h?[Q(N/;XDaW!"
