"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: regex","Param: trimmed"
"benchmark.PrecompiledRegexSplit.regexSplit","avgt",1,100,1107.168299,3.934596,"ns/op","\s*,\s*","[Bbt|E@J	PKHfXi|[%&Eo%u>%1yP:Nf%7/C]fGmOB2 VX!WU{	G~2PzhUOJ]0<<`mMw5f_""Oyu	Lw`&h*=dDWb.\zUvZ|^r/rxs2"
"benchmark.PrecompiledRegexSplit.stringSplit","avgt",1,100,1110.794111,3.123103,"ns/op","\s*,\s*","[Bbt|E@J	PKHfXi|[%&Eo%u>%1yP:Nf%7/C]fGmOB2 VX!WU{	G~2PzhUOJ]0<<`mMw5f_""Oyu	Lw`&h*=dDWb.\zUvZ|^r/rxs2"
