"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: regex","Param: trimmed"
"benchmark.PrecompiledRegexSplit.regexSplit","avgt",1,100,1995.496652,4.844522,"ns/op","\s*,\s*","fU G/T:GAJRi@SsLmsY;;Sx'aMY*M`}R!>)68'CyBe/D8Y\h-9
-h3oU6C\q&;g1e!Ko==k{tiA14U$`0z3gfQX@=G/FkEqD]lh~qbt'EYIl&SYo3uXGj0k*V1kV7o#nP8pY!@lf(#AGR:8C#-i""N673Fi~Nxk;tGqBMXVL
Q~QjS%5ba7x)`}&]l/+voOX[u&"
"benchmark.PrecompiledRegexSplit.stringSplit","avgt",1,100,1997.948341,4.766423,"ns/op","\s*,\s*","fU G/T:GAJRi@SsLmsY;;Sx'aMY*M`}R!>)68'CyBe/D8Y\h-9
-h3oU6C\q&;g1e!Ko==k{tiA14U$`0z3gfQX@=G/FkEqD]lh~qbt'EYIl&SYo3uXGj0k*V1kV7o#nP8pY!@lf(#AGR:8C#-i""N673Fi~Nxk;tGqBMXVL
Q~QjS%5ba7x)`}&]l/+voOX[u&"
