# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.PrecompiledRegexSplit.regexSplit
# Parameters: (regex = \s*,\s*, trimmed = B:\.ToQKEl#>3Nj{_lGa_kg}ZKNI@Rg}L"j_OoLyd:}$N,AXJbmePv
bZd5	x>FU{yTzHhmLEe'l9PD+On5G3z7^vIq;C	S<zN!KoT? dO<mXRv.%s$36'}LJjPKCRB#/d2X\tHNP,EK5/Opo5zQ6m]K"NX/D\S.0HLFNdI# 9A^|11\zr$+5y$7:/I/?zva(j	)l>D5kh>M3t2nh/q>vvY$lVvz.* u9jz+Ba	o)

# Run progress: 0.00% complete, ETA 00:04:10
# Fork: 1 of 5
  CI (99.9%): [3717.525, 3742.231] (assumes normal distribution)


# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.PrecompiledRegexSplit.stringSplit
# Parameters: (regex = \s*,\s*, trimmed = B:\.ToQKEl#>3Nj{_lGa_kg}ZKNI@Rg}L"j_OoLyd:}$N,AXJbmePv
bZd5	x>FU{yTzHhmLEe'l9PD+On5G3z7^vIq;C	S<zN!KoT? dO<mXRv.%s$36'}LJjPKCRB#/d2X\tHNP,EK5/Opo5zQ6m]K"NX/D\S.0HLFNdI# 9A^|11\zr$+5y$7:/I/?zva(j	)l>D5kh>M3t2nh/q>vvY$lVvz.* u9jz+Ba	o)

# Run progress: 50.00% complete, ETA 00:02:06
# Fork: 1 of 5
# Warmup Iteration   1: 4379.604 ns/op
# Warmup Iteration   2: 4218.850 ns/op
# Warmup Iteration   3: 4211.364 ns/op
# Warmup Iteration   4: 4175.360 ns/op
# Warmup Iteration   5: 3714.465 ns/op
Iteration   1: 3713.492 ns/op
Iteration   2: 3713.468 ns/op
Iteration   3: 3746.573 ns/op
Iteration   4: 3712.977 ns/op
Iteration   5: 3713.379 ns/op
Iteration   6: 3759.246 ns/op
Iteration   7: 3712.912 ns/op
Iteration   8: 3712.965 ns/op
Iteration   9: 3775.843 ns/op
Iteration  10: 3714.364 ns/op
Iteration  11: 3710.900 ns/op
Iteration  12: 3735.193 ns/op
Iteration  13: 3804.935 ns/op
Iteration  14: 3752.136 ns/op
Iteration  15: 3752.361 ns/op
Iteration  16: 3849.535 ns/op
Iteration  17: 3710.968 ns/op
Iteration  18: 3710.794 ns/op
Iteration  19: 3710.943 ns/op
Iteration  20: 3734.819 ns/op

# Run progress: 60.00% complete, ETA 00:01:41
# Fork: 2 of 5
# Warmup Iteration   1: 4349.650 ns/op
# Warmup Iteration   2: 4176.458 ns/op
# Warmup Iteration   3: 4166.402 ns/op
# Warmup Iteration   4: 4100.538 ns/op
# Warmup Iteration   5: 3668.306 ns/op
Iteration   1: 3665.669 ns/op
Iteration   2: 3700.750 ns/op
Iteration   3: 3665.697 ns/op
Iteration   4: 3666.296 ns/op
Iteration   5: 3666.713 ns/op
Iteration   6: 3712.914 ns/op
Iteration   7: 3665.168 ns/op
Iteration   8: 3666.856 ns/op
Iteration   9: 3727.881 ns/op
Iteration  10: 3667.310 ns/op
Iteration  11: 3669.752 ns/op
Iteration  12: 3761.561 ns/op
Iteration  13: 3677.654 ns/op
Iteration  14: 3672.427 ns/op
Iteration  15: 3667.754 ns/op
Iteration  16: 3772.209 ns/op
Iteration  17: 3665.921 ns/op
Iteration  18: 3666.620 ns/op
Iteration  19: 3700.880 ns/op
Iteration  20: 3675.605 ns/op

# Run progress: 70.00% complete, ETA 00:01:15
# Fork: 3 of 5
# Warmup Iteration   1: 4345.796 ns/op
# Warmup Iteration   2: 4188.394 ns/op
# Warmup Iteration   3: 4177.574 ns/op
# Warmup Iteration   4: 4133.815 ns/op
# Warmup Iteration   5: 3684.677 ns/op
Iteration   1: 3683.321 ns/op
Iteration   2: 3686.178 ns/op
Iteration   3: 3742.586 ns/op
Iteration   4: 3683.702 ns/op
Iteration   5: 3684.310 ns/op
Iteration   6: 3729.873 ns/op
Iteration   7: 3682.729 ns/op
Iteration   8: 3683.027 ns/op
Iteration   9: 3746.789 ns/op
Iteration  10: 3684.820 ns/op
Iteration  11: 3685.275 ns/op
Iteration  12: 3735.078 ns/op
Iteration  13: 3709.951 ns/op
Iteration  14: 3682.882 ns/op
Iteration  15: 3683.001 ns/op
Iteration  16: 3788.573 ns/op
Iteration  17: 3683.370 ns/op
Iteration  18: 3683.921 ns/op
Iteration  19: 3683.925 ns/op
Iteration  20: 3701.139 ns/op

# Run progress: 80.00% complete, ETA 00:00:50
# Fork: 4 of 5
# Warmup Iteration   1: 4373.581 ns/op
# Warmup Iteration   2: 4214.504 ns/op
# Warmup Iteration   3: 4208.348 ns/op
# Warmup Iteration   4: 4179.178 ns/op
# Warmup Iteration   5: 3716.424 ns/op
Iteration   1: 3715.742 ns/op
Iteration   2: 3715.833 ns/op
Iteration   3: 3759.762 ns/op
Iteration   4: 3725.858 ns/op
Iteration   5: 3725.924 ns/op
Iteration   6: 3763.609 ns/op
Iteration   7: 3715.962 ns/op
Iteration   8: 3716.581 ns/op
Iteration   9: 3776.655 ns/op
Iteration  10: 3714.914 ns/op
Iteration  11: 3715.947 ns/op
Iteration  12: 3739.484 ns/op
Iteration  13: 3772.838 ns/op
Iteration  14: 3717.250 ns/op
Iteration  15: 3717.063 ns/op
Iteration  16: 3822.820 ns/op
Iteration  17: 3726.752 ns/op
Iteration  18: 3728.066 ns/op
Iteration  19: 3728.179 ns/op
Iteration  20: 3742.658 ns/op

# Run progress: 90.00% complete, ETA 00:00:25
# Fork: 5 of 5
# Warmup Iteration   1: 4364.837 ns/op
# Warmup Iteration   2: 4208.370 ns/op
# Warmup Iteration   3: 4197.502 ns/op
# Warmup Iteration   4: 4158.287 ns/op
# Warmup Iteration   5: 3700.730 ns/op
Iteration   1: 3700.175 ns/op
Iteration   2: 3694.703 ns/op
Iteration   3: 3727.662 ns/op
Iteration   4: 3698.427 ns/op
Iteration   5: 3699.000 ns/op
Iteration   6: 3743.105 ns/op
Iteration   7: 3698.616 ns/op
Iteration   8: 3699.177 ns/op
Iteration   9: 3759.181 ns/op
Iteration  10: 3690.397 ns/op
Iteration  11: 3698.303 ns/op
Iteration  12: 3751.426 ns/op
Iteration  13: 3722.630 ns/op
Iteration  14: 3697.091 ns/op
Iteration  15: 3697.103 ns/op
Iteration  16: 3801.519 ns/op
Iteration  17: 3696.765 ns/op
Iteration  18: 3698.631 ns/op
Iteration  19: 3697.936 ns/op
Iteration  20: 3719.039 ns/op


Result "benchmark.PrecompiledRegexSplit.stringSplit":
  3715.607 ±(99.9%) 12.509 ns/op [Average]
  (min, avg, max) = (3665.168, 3715.607, 3849.535), stdev = 36.882
  CI (99.9%): [3703.098, 3728.115] (assumes normal distribution)


# Run complete. Total time: 00:04:13

REMEMBER: The numbers below are just data. To gain reusable insights, you need to follow up on
why the numbers are the way they are. Use profilers (see -prof, -lprof), design factorial
experiments, perform baseline and negative tests that provide experimental control, make sure
the benchmarking environment is safe on JVM/OS/HW level, ask for reviews from the domain experts.
Do not assume the numbers tell you what you want them to tell.

Benchmark                          (regex)                                                                                                                                                                                                                                           (trimmed)  Mode  Cnt     Score    Error  Units
PrecompiledRegexSplit.regexSplit   \s*,\s*  B:\.ToQKEl#>3Nj{_lGa_kg}ZKNI@Rg}L"j_OoLyd:}$N,AXJbmePv
bZd5	x>FU{yTzHhmLEe'l9PD+On5G3z7^vIq;C	S<zN!KoT? dO<mXRv.%s$36'}LJjPKCRB#/d2X\tHNP,EK5/Opo5zQ6m]K"NX/D\S.0HLFNdI# 9A^|11\zr$+5y$7:/I/?zva(j	)l>D5kh>M3t2nh/q>vvY$lVvz.* u9jz+Ba	o  avgt  100  3729.878 ± 12.353  ns/op
PrecompiledRegexSplit.stringSplit  \s*,\s*  B:\.ToQKEl#>3Nj{_lGa_kg}ZKNI@Rg}L"j_OoLyd:}$N,AXJbmePv
bZd5	x>FU{yTzHhmLEe'l9PD+On5G3z7^vIq;C	S<zN!KoT? dO<mXRv.%s$36'}LJjPKCRB#/d2X\tHNP,EK5/Opo5zQ6m]K"NX/D\S.0HLFNdI# 9A^|11\zr$+5y$7:/I/?zva(j	)l>D5kh>M3t2nh/q>vvY$lVvz.* u9jz+Ba	o  avgt  100  3715.607 ± 12.509  ns/op

Benchmark result is saved to split_precompiled_regex_23_242_NonMatch.csv
