"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: regex","Param: trimmed"
"benchmark.PrecompiledRegexSplit.regexSplit","avgt",1,100,974.844704,2.724571,"ns/op","\s*,\s*","D'&Ew'd}k*iJ!]mqszgn3ytO(M4yJx$x {l1'+9'e483Gobl]<W4L{|N	<z""fB<MQ/g?4(w3-+L6YkK	w#u5"
"benchmark.PrecompiledRegexSplit.stringSplit","avgt",1,100,978.655128,2.821944,"ns/op","\s*,\s*","D'&Ew'd}k*iJ!]mqszgn3ytO(M4yJx$x {l1'+9'e483Gobl]<W4L{|N	<z""fB<MQ/g?4(w3-+L6YkK	w#u5"
