"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: json_filename","Param: regex"
"benchmark.StringContainsDataset.regexMatches","avgt",1,100,1538073.267880,19144.968296,"ns/op",http_0.5_33.json,http
"benchmark.StringContainsDataset.stringContains","avgt",1,100,49468.075951,530.830766,"ns/op",http_0.5_33.json,http
