"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: json_filename","Param: regex"
"benchmark.StringContainsDataset.regexMatches","avgt",1,100,1859852.027189,24457.818113,"ns/op",http_0.1_42.json,http
"benchmark.StringContainsDataset.stringContains","avgt",1,100,48123.417571,393.307936,"ns/op",http_0.1_42.json,http
