"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: json_filename","Param: regex"
"benchmark.StringContainsDataset.regexMatches","avgt",1,100,1244717.229960,42064.729147,"ns/op",http_0.9_30.json,http
"benchmark.StringContainsDataset.stringContains","avgt",1,100,53971.736786,656.132682,"ns/op",http_0.9_30.json,http
