"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: json_filename","Param: regex"
"benchmark.StringContainsDataset.regexMatches","avgt",1,100,1803773.001423,60358.253174,"ns/op",http_0.3_27.json,http
"benchmark.StringContainsDataset.stringContains","avgt",1,100,48705.735220,509.842127,"ns/op",http_0.3_27.json,http
