"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: json_filename","Param: regex"
"benchmark.StringContainsDataset.regexMatches","avgt",1,100,1517110.982509,34483.263334,"ns/op",http_0.7_34.json,http
"benchmark.StringContainsDataset.stringContains","avgt",1,100,52378.589004,333.618705,"ns/op",http_0.7_34.json,http
