"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: json_filename","Param: regex"
"benchmark.StringContainsDataset.regexMatches","avgt",1,100,1791138.116445,71577.445918,"ns/op",http_0.1_22.json,http
"benchmark.StringContainsDataset.stringContains","avgt",1,100,46986.768358,522.187622,"ns/op",http_0.1_22.json,http
