"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: json_filename","Param: regex"
"benchmark.StringContainsDataset.regexMatches","avgt",1,100,1297950.892865,20032.245980,"ns/op",http_0.9_46.json,http
"benchmark.StringContainsDataset.stringContains","avgt",1,100,54271.703549,486.263443,"ns/op",http_0.9_46.json,http
