"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: json_filename","Param: regex"
"benchmark.StringContainsDataset.regexMatches","avgt",1,100,1831189.975923,16321.135139,"ns/op",http_0.1_27.json,http
"benchmark.StringContainsDataset.stringContains","avgt",1,100,46443.367838,529.279959,"ns/op",http_0.1_27.json,http
