"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: json_filename","Param: regex"
"benchmark.StringContainsDataset.regexMatches","avgt",1,100,1204031.281592,28422.722930,"ns/op",http_0.7_32.json,http
"benchmark.StringContainsDataset.stringContains","avgt",1,100,52849.058279,292.836987,"ns/op",http_0.7_32.json,http
