"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: json_filename","Param: regex"
"benchmark.StringContainsDataset.regexMatches","avgt",1,100,1123231.276698,45421.721334,"ns/op",http_0.9_8.json,http
"benchmark.StringContainsDataset.stringContains","avgt",1,100,54881.183373,619.233084,"ns/op",http_0.9_8.json,http
