"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: json_filename","Param: regex"
"benchmark.StringContainsDataset.regexMatches","avgt",1,100,1504547.734994,24821.301737,"ns/op",http_0.5_8.json,http
"benchmark.StringContainsDataset.stringContains","avgt",1,100,51204.584422,532.015571,"ns/op",http_0.5_8.json,http
