"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: json_filename","Param: regex"
"benchmark.StringContainsDataset.regexMatches","avgt",1,100,1530946.337059,32784.918921,"ns/op",http_0.7_7.json,http
"benchmark.StringContainsDataset.stringContains","avgt",1,100,53370.531299,357.546156,"ns/op",http_0.7_7.json,http
