"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: json_filename","Param: regex"
"benchmark.StringContainsDataset.regexMatches","avgt",1,100,1469233.391266,11711.814151,"ns/op",http_0.5_48.json,http
"benchmark.StringContainsDataset.stringContains","avgt",1,100,49998.098891,514.634958,"ns/op",http_0.5_48.json,http
