"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: json_filename","Param: regex"
"benchmark.StringContainsDataset.regexMatches","avgt",1,100,1841534.751274,16350.631519,"ns/op",http_0.1_8.json,http
"benchmark.StringContainsDataset.stringContains","avgt",1,100,46176.791068,474.338225,"ns/op",http_0.1_8.json,http
