"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: json_filename","Param: regex"
"benchmark.StringContainsDataset.regexMatches","avgt",1,100,1890348.538824,15152.262072,"ns/op",http_0.1_16.json,http
"benchmark.StringContainsDataset.stringContains","avgt",1,100,46960.123131,503.540990,"ns/op",http_0.1_16.json,http
