"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: json_filename","Param: regex"
"benchmark.StringContainsDataset.regexMatches","avgt",1,100,1292062.207110,12920.122910,"ns/op",http_0.9_0.json,http
"benchmark.StringContainsDataset.stringContains","avgt",1,100,56409.432944,363.374388,"ns/op",http_0.9_0.json,http
