"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: json_filename","Param: regex"
"benchmark.StringContainsDataset.regexMatches","avgt",1,100,1587095.726512,10719.645699,"ns/op",http_0.5_9.json,http
"benchmark.StringContainsDataset.stringContains","avgt",1,100,50897.613667,463.590714,"ns/op",http_0.5_9.json,http
