"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: json_filename","Param: regex"
"benchmark.StringContainsDataset.regexMatches","avgt",1,100,1773889.003956,16551.704572,"ns/op",http_0.3_21.json,http
"benchmark.StringContainsDataset.stringContains","avgt",1,100,49908.310260,636.201344,"ns/op",http_0.3_21.json,http
