"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: json_filename","Param: regex"
"benchmark.StringContainsDataset.regexMatches","avgt",1,100,1534280.774696,24869.263493,"ns/op",http_0.5_32.json,http
"benchmark.StringContainsDataset.stringContains","avgt",1,100,48014.467676,498.641204,"ns/op",http_0.5_32.json,http
