"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: json_filename","Param: regex"
"benchmark.StringContainsDataset.regexMatches","avgt",1,100,1739773.446677,32414.385447,"ns/op",http_0.3_19.json,http
"benchmark.StringContainsDataset.stringContains","avgt",1,100,48649.979062,552.961110,"ns/op",http_0.3_19.json,http
