"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: json_filename","Param: regex"
"benchmark.StringContainsDataset.regexMatches","avgt",1,100,1208815.654368,34600.945638,"ns/op",http_0.9_27.json,http
"benchmark.StringContainsDataset.stringContains","avgt",1,100,55078.643665,537.156561,"ns/op",http_0.9_27.json,http
