"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: json_filename","Param: regex"
"benchmark.StringContainsDataset.regexMatches","avgt",1,100,1705245.089958,14863.472309,"ns/op",http_0.3_25.json,http
"benchmark.StringContainsDataset.stringContains","avgt",1,100,49000.509420,422.887642,"ns/op",http_0.3_25.json,http
