"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: json_filename","Param: regex"
"benchmark.StringContainsDataset.regexMatches","avgt",1,100,1584187.999286,46082.190566,"ns/op",http_0.5_43.json,http
"benchmark.StringContainsDataset.stringContains","avgt",1,100,50274.484636,596.510607,"ns/op",http_0.5_43.json,http
