"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: json_filename","Param: regex"
"benchmark.StringContainsDataset.regexMatches","avgt",1,100,1834294.939770,62360.719153,"ns/op",http_0.3_45.json,http
"benchmark.StringContainsDataset.stringContains","avgt",1,100,49288.076815,488.257370,"ns/op",http_0.3_45.json,http
