"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: json_filename","Param: regex"
"benchmark.StringContainsDataset.regexMatches","avgt",1,100,1763146.779035,34082.981980,"ns/op",http_0.3_26.json,http
"benchmark.StringContainsDataset.stringContains","avgt",1,100,48100.936228,538.918244,"ns/op",http_0.3_26.json,http
