"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: json_filename","Param: regex"
"benchmark.StringContainsDataset.regexMatches","avgt",1,100,1448816.631637,30754.559615,"ns/op",http_0.7_9.json,http
"benchmark.StringContainsDataset.stringContains","avgt",1,100,53879.298306,484.591287,"ns/op",http_0.7_9.json,http
