"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: json_filename","Param: regex"
"benchmark.StringContainsDataset.regexMatches","avgt",1,100,1533921.111438,10765.744052,"ns/op",http_0.5_3.json,http
"benchmark.StringContainsDataset.stringContains","avgt",1,100,50466.521917,510.050075,"ns/op",http_0.5_3.json,http
