"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: json_filename","Param: regex"
"benchmark.StringContainsDataset.regexMatches","avgt",1,100,1234365.538905,37453.294115,"ns/op",http_0.9_37.json,http
"benchmark.StringContainsDataset.stringContains","avgt",1,100,53956.751688,436.500734,"ns/op",http_0.9_37.json,http
