"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: json_filename","Param: regex"
"benchmark.StringContainsDataset.regexMatches","avgt",1,100,1331683.609747,51049.920760,"ns/op",http_0.7_40.json,http
"benchmark.StringContainsDataset.stringContains","avgt",1,100,52700.458149,596.247157,"ns/op",http_0.7_40.json,http
