"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: json_filename","Param: regex"
"benchmark.StringContainsDataset.regexMatches","avgt",1,100,1496779.016363,28107.171063,"ns/op",http_0.5_5.json,http
"benchmark.StringContainsDataset.stringContains","avgt",1,100,51474.626953,461.415920,"ns/op",http_0.5_5.json,http
