"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: json_filename","Param: regex"
"benchmark.StringContainsDataset.regexMatches","avgt",1,100,1218323.686422,45431.378100,"ns/op",http_0.9_10.json,http
"benchmark.StringContainsDataset.stringContains","avgt",1,100,54966.957384,436.894362,"ns/op",http_0.9_10.json,http
