"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: regex","Param: strLen","Param: strOP"
"org.github.tests.JavaBenchmarkSingleIteration.testPrefixFilter","avgt",1,1000,51.470761,0.129013,"us/op",cabb*,4,c
"org.github.tests.JavaBenchmarkSingleIteration.testRegexFilter","avgt",1,1000,525.257369,2.409311,"us/op",cabb*,4,c
