"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: errorString","Param: fileName"
"org.github.tests.ErrorMsgMatchOrContains.testPrecompiledRegexMatches","avgt",1,100,13552.598074,96.813270,"us/op",cloud-integration/DELAY_LISTING_ME/S3ACommitDataframeSuite/dataframe-committer/committer-magic-orc/orc/_SUCCESS,cloud-intergration-test-failure.log
"org.github.tests.ErrorMsgMatchOrContains.testStringSplit","avgt",1,100,14109.791372,87.485495,"us/op",cloud-integration/DELAY_LISTING_ME/S3ACommitDataframeSuite/dataframe-committer/committer-magic-orc/orc/_SUCCESS,cloud-intergration-test-failure.log
