"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: regex","Param: strLen","Param: strOP"
"org.github.tests.JavaBenchmarkSingleIteration.testPrefixFilter","avgt",1,1000,69.102114,0.214322,"us/op",c,1,c
"org.github.tests.JavaBenchmarkSingleIteration.testRegexFilter","avgt",1,1000,508.672583,3.001761,"us/op",c,1,c
