"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: regex","Param: strLen","Param: strOP"
"org.github.tests.JavaBenchmarkSingleIteration.testPrefixFilter","avgt",1,1000,69.345476,0.205304,"us/op",cabb,4,c
"org.github.tests.JavaBenchmarkSingleIteration.testRegexFilter","avgt",1,1000,528.376154,2.282340,"us/op",cabb,4,c
