"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: errorString","Param: fileName"
"org.github.tests.ErrorMsgMatchOrContains.testPrecompiledRegexMatches","avgt",1,100,273.869337,2.037984,"us/op",error,shortError.log
"org.github.tests.ErrorMsgMatchOrContains.testPrecompiledRegexMatches","avgt",1,100,130241.335279,3540.510766,"us/op",error,cloud-intergration-test-failure.log
"org.github.tests.ErrorMsgMatchOrContains.testStringSplit","avgt",1,100,2.810511,0.038640,"us/op",error,shortError.log
"org.github.tests.ErrorMsgMatchOrContains.testStringSplit","avgt",1,100,6285.715052,48.805745,"us/op",error,cloud-intergration-test-failure.log
