"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: errorString","Param: fileName"
"org.github.tests.ErrorMsgMatchOrContains.testPrecompiledRegexMatches","avgt",1,100,226.624897,3.375211,"us/op",ERROR,shortError.log
"org.github.tests.ErrorMsgMatchOrContains.testStringSplit","avgt",1,100,2.060376,0.016265,"us/op",ERROR,shortError.log
