"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: regex"
"org.github.tests.JavaBenchmarkFindAllNewline.testPrecompiledRegexReplace","avgt",1,1000,15.384804,0.088329,"ms/op",\r\n|[\s\S]
"org.github.tests.JavaBenchmarkFindAllNewline.testRegexFindAllGlobal","avgt",1,1000,45.919411,0.201280,"ms/op",\r\n|[\s\S]
"org.github.tests.JavaBenchmarkFindAllNewline.testStringCharAt","avgt",1,1000,1.878349,0.006741,"ms/op",\r\n|[\s\S]
"org.github.tests.JavaBenchmarkFindAllNewline.testStringReplace","avgt",1,1000,12.033380,0.050773,"ms/op",\r\n|[\s\S]
