"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: regex","Param: strLen","Param: strOP"
"org.github.tests.JavaBenchmarkSingleIteration.testPrefixFilter","avgt",1,1000,68.950299,0.177553,"us/op",cabb*,1000,c
"org.github.tests.JavaBenchmarkSingleIteration.testRegexFilter","avgt",1,1000,538.188177,1.971605,"us/op",cabb*,1000,c
