"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: errorString","Param: fileName"
"org.github.tests.ErrorMsgMatchOrContains.testPrecompiledRegexMatches","avgt",1,100,182.737636,2.709645,"us/op",PREPARE_SANITY,shortError.log
"org.github.tests.ErrorMsgMatchOrContains.testStringSplit","avgt",1,100,4.560385,0.036485,"us/op",PREPARE_SANITY,shortError.log
