"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: matchingRatio","Param: regex","Param: str","Param: strLen"
"org.github.tests.JavaBenchmarkSingleIterationMatchedResultRatio.testPrefixFilter","avgt",1,1000,69.162489,0.177141,"us/op",0.5,c,c,1
"org.github.tests.JavaBenchmarkSingleIterationMatchedResultRatio.testRegexFilter","avgt",1,1000,515.324517,1.950238,"us/op",0.5,c,c,1
