,string, length, firstMatchPos,Score,Unit,Batch
0,error,5,0,9393.363,ns/op,20
1,error5,6,0,7628.258,ns/op,20
2,error5b,7,0,6833.838,ns/op,20
3,error0pF,8,0,7171.682,ns/op,20
4,errorFQCn,9,0,6807.938,ns/op,20
5,errorhpSsS,10,0,7023.423,ns/op,20
6,errorfjuKPo,11,0,7426.872,ns/op,20
7,errorxxBOz9S,12,0,7733.423,ns/op,20
8,errorMf8kaMd8,13,0,8138.991,ns/op,20
9,errorUhpTYlEa0,14,0,8600.845,ns/op,20
10,error8T3FJPl0Ul,15,0,9354.552,ns/op,20
11,errorF4UTNggcTjc,16,0,9252.954,ns/op,20
12,errorBqoxzYtCYQWo,17,0,9797.865,ns/op,20
13,errorWkk9fTWxNNcVL,18,0,10441.729,ns/op,20
14,errorMxb8jVpQwNIxFH,19,0,10476.960,ns/op,20
15,error7wJiqAexTTdrC5p,20,0,11473.516,ns/op,20
16,7error,6,1,4771.512,ns/op,20
17,Rerrori,7,1,5650.226,ns/op,20
18,qerrorhd,8,1,5992.003,ns/op,20
19,9errorb10,9,1,6430.399,ns/op,20
20,CerrorNOmH,10,1,6558.711,ns/op,20
21,zerrorftjgY,11,1,7186.790,ns/op,20
22,5errorCbjoI0,12,1,7361.871,ns/op,20
23,Cerrorfomedjx,13,1,8397.554,ns/op,20
24,Werrorc1wZPRbZ,14,1,8734.391,ns/op,20
25,qerrorRp04s1UPe,15,1,9196.201,ns/op,20
26,zerrorawyiQy7p5t,16,1,9126.745,ns/op,20
27,cerror33ptP6OKaUj,17,1,9080.080,ns/op,20
28,9error9IyVQEXEtimH,18,1,10054.300,ns/op,20
29,FerrorxvS9SFXOgWvbH,19,1,10412.559,ns/op,20
30,XerrorQfDmUJgyR8PCXl,20,1,10778.030,ns/op,20
31,F2error,7,2,5595.744,ns/op,20
32,hierrorq,8,2,5445.024,ns/op,20
33,B1errorz1,9,2,6063.836,ns/op,20
34,m3errorAX6,10,2,6528.780,ns/op,20
35,3rerrorcu4B,11,2,6761.849,ns/op,20
36,VCerrorNUMip,12,2,7341.655,ns/op,20
37,cYerrorKtHhfR,13,2,7531.158,ns/op,20
38,ePerrortW9VK26,14,2,8118.574,ns/op,20
39,LXerrorJEjFmVOA,15,2,8456.705,ns/op,20
40,vLerrorpLim9VoYe,16,2,9488.351,ns/op,20
